id	Authors	Apellidos	Title	abstract	type
2	José Gómez Torrecillas, F. J. Lobillo and Gabriel Navarro	Gómez Torrecillas, F. J. Lobillo and Gabriel Navarro	A knapsack McEliece-based public key cryptosystem	In this talk, we describe a knapsack-type public key encryption scheme inspired by the McEliece cryptosystem and by the decoding algorithm of Goppa codes. The decryption process is efficiently carried out using a truncated version of the extended Euclidean algorithm. Moreover, the key generation and the encryption–decryption procedures exhibit remarkable time efficiency, as they rely exclusively on basic integer arithmetic. Since the plaintext alphabet is not necessarily binary, the security of the scheme relies on the hardness of a modular weighted subset sum problem, which is closely related to the classical NP-hard subset sum problem. We shall discuss several security aspects of the construction, focusing on lattice reduction attacks, which constitute the main class of attacks against this type of cryptosystem.	T
3	Federico Castillo Castillo, Daniel Duarte, Maximiliano Leyton-Alvarez and Alvaro Liendo	Castillo Castillo, Daniel Duarte, Maximiliano Leyton-Alvarez and Alvaro Liendo	On a computational approach to the Nash blowup problem	The Nash blowup was introduced as a potential method for resolving singularities. In the toric setting, this construction admits a purely combinatorial description in terms of affine semigroups, Hilbert bases, and polyhedral operations, revealing the problem to be fundamentally discrete. <br> We develop a computational framework to study iterative Nash blowups via these combinatorial structures. While extensive experiments provide strong evidence for termination in low dimensions, we unexpectedly discover explicit higher-dimensional toric counterexamples showing that iteration does not always yield a resolution. <br> Our results highlight subtle combinatorial obstructions and raise new structural and algorithmic questions at the interface of algebraic geometry and discrete mathematics.	P
6	María A. Hernández Cifre, Víctor Jiménez López and Mario Ruiz Amor	Hernández Cifre, Víctor Jiménez López and Mario Ruiz Amor	On the Minkowski-Hlawka theorem 	The well-known Minkowski-Hlawka theorem establishes that if $S\subset\mathbb{R}^n$, $n\geq 2$, is a $0$-symmetric star body whose volume is bounded from above by (twice) the Riemann zeta function, then there exists a $K$-admissible lattice with determinant $1$. This results has several equivalent versions due to its connection with both the Geometry of Numbers and the Packing Theory. Astonishingly, Minkowski-Hlawka's theorem in dimension $n=1$ is not known in the literature. In this work we prove this result in the different settings it can be stated: for $0$-symmetric star bodies, for star bodies not necessarily symmetric, and for arbitrary sets.	P
7	Sandor Ernesto Tuñón Andrés, Alejandro Estrada Moreno and Juan Alberto Rodríguez Velázquez	Tuñón Andrés, Alejandro Estrada Moreno and Juan Alberto Rodríguez Velázquez	The Equidistant Dimension of Corona Product Graphs		P
8	Alberto Espuny Díaz, António Girão, Bertille Granet and Gal Kronenberg	Espuny Díaz, António Girão, Bertille Granet and Gal Kronenberg	Sublinear degree conditions for 2-factors with k cycles in Hamiltonian graphs	    Let $k\geq 2$.     We show that, for a sufficiently small $\varepsilon>0$, any sufficiently large $n$-vertex Hamiltonian graph of minimum degree at least $n^{1-\varepsilon}$ contains a $2$-factor consisting of exactly $k$ cycles.     This is the first minimum-degree condition for this problem which is polynomially smaller than linear.	T
9	Sara Asensio, Ignacio García-Marco and Philippe Gimenez	Asensio, Ignacio García-Marco and Philippe Gimenez	On the special shape of some Betti diagrams of edge ideals	Edge ideals of graphs were introduced by Villarreal in 1990, and have been the subject of many studies since then. In the same year, Fröberg characterized edge ideals with regularity 2 in combinatorial terms. This result was generalized by Fernández-Ramos and Gimenez to regularity 3 for bipartite graphs. A key ingredient in these results is the particular shape of the Betti diagrams of the edge ideals of the graphs obtained after removing a Hamiltonian cycle from either a complete graph $\mathcal K_k$ or a complete bipartite graph $\mathcal K_{k,k}$.   <br> In this work, we consider the family of Generalized Andrásfai graphs ${\rm GA}(t,k)$ with $t,k \geq 2$. This family extends the family of complete bipartite graphs, since $\mathcal K_{k,k} = {\rm GA}(2,k)$. We show that  the results known for $\mathcal K_k$ and $\mathcal K_{k,k}$ can be naturally extended to this family. More precisely, when removing a suitable Hamiltonian cycle from ${\rm GA}(t,k)$, the resulting edge ideal has regularity $t+2$, projective dimension $t(k-2)$ and a Betti diagram exhibiting a generalized version of the same special shape. Our proofs combine combinatorial, homological and algebraic tools that have played an important role in the study of edge ideals.	P
10	Francisco Javier Soto Sánchez	Soto Sánchez	Local directed structure of algebraic Cayley digraphs over finite fields	We study Cayley digraphs on the multiplicative group of a finite field extension generated by values of monic polynomials of a fixed degree. A simple degree argument rules out short closed directed walks and yields a lower bound for the directed girth. For irreducible generators, we describe the directed ball around a vertex up to the natural degree threshold, derive closed formulas for local growth, and identify a canonical graded induced subdigraph that is directed acyclic in the same range.	T
11	Ignacio García-Marco, Philippe Gimenez and Mario González-Sánchez	García-Marco, Philippe Gimenez and Mario González-Sánchez	From sumsets to Castelnuvo-Mumford regularity of toric varieties	For a finite set $\mathcal{A} \subset \mathbb{N}^d$ and $s \in \mathbb{N}$, let $s\mathcal{A}$ denote its $s$-fold sumset. Although these sumsets may behave irregularly for small values of $s$, they eventually stabilize in a precise sense. This leads to the notion of <em>sumsets regularity</em>, denoted by $\sigma(\mathcal{A})$, defined as the first stage at which this stabilization occurs. In the first part of this work, we establish upper bounds for $\sigma(\mathcal{A})$ for certain families of sets $\mathcal{A} \subset \mathbb{N}^d$. <br> In the second part, we show that this combinatorial invariant controls the Castelnuovo--Mumford regularity of simplicial projective toric varieties with at most one singular point. More precisely, we prove that the regularity of such a variety is at most one more than the sumsets regularity of an associated set $\mathcal{A}$, which moreover belongs to one of the families studied in the first part. This yields explicit upper bounds on Castelnuovo--Mumford regularity. In particular, in the smooth case we recover the bound of Herzog and Hibi [Proc. Amer. Math. Soc. 131 (2003), 2641--2647], and hence the Eisenbud--Goto bound. Moreover, if the variety has exactly one singular point and its dimension is at least $3$, we prove that its regularity also satisfies the Eisenbud--Goto bound. <br> The link between sumsets regularity and Castelnuovo--Mumford regularity is provided by a Hochster-like formula that expresses the latter in terms of the simplicial homology of complexes naturally associated with the sumsets of~$\mathcal{A}$. The results presented in this work are part of the preprint 	P
12	Danai Deligeorgaki and Krishna Menon	Deligeorgaki and Krishna Menon	How to bounce your canon permutation	We study a new class of palindromic descent polynomials.  Given a Dyck path $d$ of semilength $n$ and a permutation $\sigma$ of size $n$, one can label the up-steps and down-steps of $d$ with the elements of $\sigma$.  The labeled Dyck path determines a multiset permutation called a {canon} (or nonnesting) permutation. Such permutations also arise as linear extensions of posets and as regions of hyperplane arrangements. Elizalde showed that the descent polynomial for all canon permutations of fixed length factors as a product of an Eulerian and a Narayana polynomial. <br> We refine these polynomials by associating to $d$ a descent polynomial $C_d$ over the canon permutations obtained from $d$.  We prove that $C_d$  is palindromic and free of internal zero coefficients, though not unimodal in general. Its degree is determined by the number of peaks in the bounce path of $d$.  We establish a correspondence between canon permutations attaining the maximum number of descents and Dyck paths below $d$ in the Dyck lattice satisfying a valley condition.  Each such path contributes a number of maximizers equal to the number of linear extensions of an associated poset, yielding a combinatorial interpretation of the leading coefficient of $C_d$.	T
13	Ruben Rodriguez and Umberto Martinez	Rodriguez and Umberto Martinez	On the structure of Polynomial Ideal Codes and Nonlinear Reed--Solomon Codes.	We study polynomial ideal codes and nonlinear Reed--Solomon codes in the folded Hamming metric. We compute the maximal length of polynomial ideal codes, determine their duals as generalized polynomial ideal codes over the base field,  deduce that they are dually quasi-MDS and we obtain their weight-distribution. We then characterize when a nonlinear Reed--Solomon code is equivalent to a polynomial ideal code, namely when its evaluation points lie in pairwise distinct Frobenius conjugacy classes of full size. As consequences, we obtain duality and weight-distribution results for this family of nonlinear Reed--Solomon codes.	T
